Item,Quantity,Reference,Value,Footprint,Manufacturer,MPN
1,1,U5,Quad 3.3 V to 5 V logic buffer,SOIC-14 1.27 mm,Texas Instruments,SN74AHCT125DR
2,1,J3,"5.5x2.0 mm centre-positive DC jack, 2.5 A rated",5.5x2.0 mm THT,Same Sky,PJ-102A
3,12,"SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9,SW10,SW11,SW12","6 mm tactile switch, 9.5 mm actuator",6x6 mm THT,E-Switch,TL1105SPF100QG
4,1,C1,1000 uF 10 V low-ESR electrolytic,radial 10 mm,Rubycon,10ZLJ1000M10X16
5,137,"C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C113,C114,C115,C116,C117,C118,C119,C120,C121,C122,C123,C124,C125,C126,C127,C128,C129,C130,C131,C132,C133,C134,C135,C136,C137,C138,C139",100 nF 50 V X7R MLCC,0603 (1608 metric),Yageo,CC0603KRX7R9BB104
6,1,C2,10 uF 10 V X5R MLCC,0805 (2012 metric),Yageo,CC0805KKX5R6BB106
7,1,F1,2 A time-delay surface-mount fuse,2410 fuse,Littelfuse,0453002.MR
8,64,"HS1,HS2,HS3,HS4,HS5,HS6,HS7,HS8,HS9,HS10,HS11,HS12,HS13,HS14,HS15,HS16,HS17,HS18,HS19,HS20,HS21,HS22,HS23,HS24,HS25,HS26,HS27,HS28,HS29,HS30,HS31,HS32,HS33,HS34,HS35,HS36,HS37,HS38,HS39,HS40,HS41,HS42,HS43,HS44,HS45,HS46,HS47,HS48,HS49,HS50,HS51,HS52,HS53,HS54,HS55,HS56,HS57,HS58,HS59,HS60,HS61,HS62,HS63,HS64",20 Hz omnipolar active-low Hall-effect sensor,SOT-23-3,Texas Instruments,DRV5032FCDBZR
9,1,J2,1x4 OLED socket,1x4 2.54 mm THT,Sullins Connector Solutions,PPPC041LFBN-RC
10,1,J1,Raspberry Pi Zero 2 W 2x20 socket,2x20 2.54 mm THT,Sullins Connector Solutions,PPPC202LFBN-RC
11,1,SW13,PCB SPST rocker switch,SPST rocker THT,E-Switch,RA11131100
12,2,"R1,R2",4.7 kohm 0.1 W thick-film resistor,0603 (1608 metric),Yageo,RC0603FR-074K7L
13,64,"U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39,U40,U41,U42,U43,U44,U45,U46,U47,U48,U49,U50,U51,U52,U53,U54,U55,U56,U57,U58,U59,U60,U61,U62,U63,U64,U65,U66,U67,U68,U69",Clocked 5050 RGB LED,PLCC-6 5050,Opsco Optoelectronics,SK9822-EC20
14,8,"U1,U2,U3,U4,U70,U71,U72,U73",8-bit I2C GPIO expander with input pull-ups,SOIC-16W 1.27 mm,Texas Instruments,TCA9554DWR
15,7,"TP1,TP2,TP3,TP4,TP5,TP6,TP7",Low-profile surface-mount test point,SMD test point,Harwin,S1751-46R
16,1,D1,6 V unidirectional TVS diode,SMB (DO-214AA),Littelfuse,SMBJ6.0A
