Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10ZLJ1000M10X16","",72.000000,-390.000000,0.000000,top
"C2","CC0805KKX5R6BB106","",84.000000,-388.000000,0.000000,top
"C3","CC0603KRX7R9BB104","",134.000000,-312.000000,0.000000,top
"C4","CC0603KRX7R9BB104","",294.000000,-312.000000,0.000000,top
"C5","CC0603KRX7R9BB104","",134.000000,-152.000000,0.000000,top
"C6","CC0603KRX7R9BB104","",294.000000,-152.000000,0.000000,top
"C7","CC0603KRX7R9BB104","",142.000000,-400.000000,0.000000,top
"C8","CC0603KRX7R9BB104","",73.000000,-355.000000,0.000000,top
"C9","CC0603KRX7R9BB104","",113.000000,-355.000000,0.000000,top
"C10","CC0603KRX7R9BB104","",153.000000,-355.000000,0.000000,top
"C11","CC0603KRX7R9BB104","",193.000000,-355.000000,0.000000,top
"C12","CC0603KRX7R9BB104","",233.000000,-355.000000,0.000000,top
"C13","CC0603KRX7R9BB104","",273.000000,-355.000000,0.000000,top
"C14","CC0603KRX7R9BB104","",313.000000,-355.000000,0.000000,top
"C15","CC0603KRX7R9BB104","",353.000000,-355.000000,0.000000,top
"C16","CC0603KRX7R9BB104","",353.000000,-315.000000,0.000000,top
"C17","CC0603KRX7R9BB104","",313.000000,-315.000000,0.000000,top
"C18","CC0603KRX7R9BB104","",273.000000,-315.000000,0.000000,top
"C19","CC0603KRX7R9BB104","",233.000000,-315.000000,0.000000,top
"C20","CC0603KRX7R9BB104","",193.000000,-315.000000,0.000000,top
"C21","CC0603KRX7R9BB104","",153.000000,-315.000000,0.000000,top
"C22","CC0603KRX7R9BB104","",113.000000,-315.000000,0.000000,top
"C23","CC0603KRX7R9BB104","",73.000000,-315.000000,0.000000,top
"C24","CC0603KRX7R9BB104","",73.000000,-275.000000,0.000000,top
"C25","CC0603KRX7R9BB104","",113.000000,-275.000000,0.000000,top
"C26","CC0603KRX7R9BB104","",153.000000,-275.000000,0.000000,top
"C27","CC0603KRX7R9BB104","",193.000000,-275.000000,0.000000,top
"C28","CC0603KRX7R9BB104","",233.000000,-275.000000,0.000000,top
"C29","CC0603KRX7R9BB104","",273.000000,-275.000000,0.000000,top
"C30","CC0603KRX7R9BB104","",313.000000,-275.000000,0.000000,top
"C31","CC0603KRX7R9BB104","",353.000000,-275.000000,0.000000,top
"C32","CC0603KRX7R9BB104","",353.000000,-235.000000,0.000000,top
"C33","CC0603KRX7R9BB104","",313.000000,-235.000000,0.000000,top
"C34","CC0603KRX7R9BB104","",273.000000,-235.000000,0.000000,top
"C35","CC0603KRX7R9BB104","",233.000000,-235.000000,0.000000,top
"C36","CC0603KRX7R9BB104","",193.000000,-235.000000,0.000000,top
"C37","CC0603KRX7R9BB104","",153.000000,-235.000000,0.000000,top
"C38","CC0603KRX7R9BB104","",113.000000,-235.000000,0.000000,top
"C39","CC0603KRX7R9BB104","",73.000000,-235.000000,0.000000,top
"C40","CC0603KRX7R9BB104","",73.000000,-195.000000,0.000000,top
"C41","CC0603KRX7R9BB104","",113.000000,-195.000000,0.000000,top
"C42","CC0603KRX7R9BB104","",153.000000,-195.000000,0.000000,top
"C43","CC0603KRX7R9BB104","",193.000000,-195.000000,0.000000,top
"C44","CC0603KRX7R9BB104","",233.000000,-195.000000,0.000000,top
"C45","CC0603KRX7R9BB104","",273.000000,-195.000000,0.000000,top
"C46","CC0603KRX7R9BB104","",313.000000,-195.000000,0.000000,top
"C47","CC0603KRX7R9BB104","",353.000000,-195.000000,0.000000,top
"C48","CC0603KRX7R9BB104","",353.000000,-155.000000,0.000000,top
"C49","CC0603KRX7R9BB104","",313.000000,-155.000000,0.000000,top
"C50","CC0603KRX7R9BB104","",273.000000,-155.000000,0.000000,top
"C51","CC0603KRX7R9BB104","",233.000000,-155.000000,0.000000,top
"C52","CC0603KRX7R9BB104","",193.000000,-155.000000,0.000000,top
"C53","CC0603KRX7R9BB104","",153.000000,-155.000000,0.000000,top
"C54","CC0603KRX7R9BB104","",113.000000,-155.000000,0.000000,top
"C55","CC0603KRX7R9BB104","",73.000000,-155.000000,0.000000,top
"C56","CC0603KRX7R9BB104","",73.000000,-115.000000,0.000000,top
"C57","CC0603KRX7R9BB104","",113.000000,-115.000000,0.000000,top
"C58","CC0603KRX7R9BB104","",153.000000,-115.000000,0.000000,top
"C59","CC0603KRX7R9BB104","",193.000000,-115.000000,0.000000,top
"C60","CC0603KRX7R9BB104","",233.000000,-115.000000,0.000000,top
"C61","CC0603KRX7R9BB104","",273.000000,-115.000000,0.000000,top
"C62","CC0603KRX7R9BB104","",313.000000,-115.000000,0.000000,top
"C63","CC0603KRX7R9BB104","",353.000000,-115.000000,0.000000,top
"C64","CC0603KRX7R9BB104","",353.000000,-75.000000,0.000000,top
"C65","CC0603KRX7R9BB104","",313.000000,-75.000000,0.000000,top
"C66","CC0603KRX7R9BB104","",273.000000,-75.000000,0.000000,top
"C67","CC0603KRX7R9BB104","",233.000000,-75.000000,0.000000,top
"C68","CC0603KRX7R9BB104","",193.000000,-75.000000,0.000000,top
"C69","CC0603KRX7R9BB104","",153.000000,-75.000000,0.000000,top
"C70","CC0603KRX7R9BB104","",113.000000,-75.000000,0.000000,top
"C71","CC0603KRX7R9BB104","",73.000000,-75.000000,0.000000,top
"C72","CC0603KRX7R9BB104","",60.000000,-363.000000,0.000000,top
"C73","CC0603KRX7R9BB104","",100.000000,-363.000000,0.000000,top
"C74","CC0603KRX7R9BB104","",140.000000,-363.000000,0.000000,top
"C75","CC0603KRX7R9BB104","",180.000000,-363.000000,0.000000,top
"C76","CC0603KRX7R9BB104","",60.000000,-323.000000,0.000000,top
"C77","CC0603KRX7R9BB104","",100.000000,-323.000000,0.000000,top
"C78","CC0603KRX7R9BB104","",140.000000,-323.000000,0.000000,top
"C79","CC0603KRX7R9BB104","",180.000000,-323.000000,0.000000,top
"C80","CC0603KRX7R9BB104","",60.000000,-283.000000,0.000000,top
"C81","CC0603KRX7R9BB104","",100.000000,-283.000000,0.000000,top
"C82","CC0603KRX7R9BB104","",140.000000,-283.000000,0.000000,top
"C83","CC0603KRX7R9BB104","",180.000000,-283.000000,0.000000,top
"C84","CC0603KRX7R9BB104","",60.000000,-243.000000,0.000000,top
"C85","CC0603KRX7R9BB104","",100.000000,-243.000000,0.000000,top
"C86","CC0603KRX7R9BB104","",140.000000,-243.000000,0.000000,top
"C87","CC0603KRX7R9BB104","",180.000000,-243.000000,0.000000,top
"C88","CC0603KRX7R9BB104","",220.000000,-363.000000,0.000000,top
"C89","CC0603KRX7R9BB104","",260.000000,-363.000000,0.000000,top
"C90","CC0603KRX7R9BB104","",300.000000,-363.000000,0.000000,top
"C91","CC0603KRX7R9BB104","",340.000000,-363.000000,0.000000,top
"C92","CC0603KRX7R9BB104","",220.000000,-323.000000,0.000000,top
"C93","CC0603KRX7R9BB104","",260.000000,-323.000000,0.000000,top
"C94","CC0603KRX7R9BB104","",300.000000,-323.000000,0.000000,top
"C95","CC0603KRX7R9BB104","",340.000000,-323.000000,0.000000,top
"C96","CC0603KRX7R9BB104","",220.000000,-283.000000,0.000000,top
"C97","CC0603KRX7R9BB104","",260.000000,-283.000000,0.000000,top
"C98","CC0603KRX7R9BB104","",300.000000,-283.000000,0.000000,top
"C99","CC0603KRX7R9BB104","",340.000000,-283.000000,0.000000,top
"C100","CC0603KRX7R9BB104","",220.000000,-243.000000,0.000000,top
"C101","CC0603KRX7R9BB104","",260.000000,-243.000000,0.000000,top
"C102","CC0603KRX7R9BB104","",300.000000,-243.000000,0.000000,top
"C103","CC0603KRX7R9BB104","",340.000000,-243.000000,0.000000,top
"C104","CC0603KRX7R9BB104","",60.000000,-203.000000,0.000000,top
"C105","CC0603KRX7R9BB104","",100.000000,-203.000000,0.000000,top
"C106","CC0603KRX7R9BB104","",140.000000,-203.000000,0.000000,top
"C107","CC0603KRX7R9BB104","",180.000000,-203.000000,0.000000,top
"C108","CC0603KRX7R9BB104","",60.000000,-163.000000,0.000000,top
"C109","CC0603KRX7R9BB104","",100.000000,-163.000000,0.000000,top
"C110","CC0603KRX7R9BB104","",140.000000,-163.000000,0.000000,top
"C111","CC0603KRX7R9BB104","",180.000000,-163.000000,0.000000,top
"C112","CC0603KRX7R9BB104","",60.000000,-123.000000,0.000000,top
"C113","CC0603KRX7R9BB104","",100.000000,-123.000000,0.000000,top
"C114","CC0603KRX7R9BB104","",140.000000,-123.000000,0.000000,top
"C115","CC0603KRX7R9BB104","",180.000000,-123.000000,0.000000,top
"C116","CC0603KRX7R9BB104","",60.000000,-83.000000,0.000000,top
"C117","CC0603KRX7R9BB104","",100.000000,-83.000000,0.000000,top
"C118","CC0603KRX7R9BB104","",140.000000,-83.000000,0.000000,top
"C119","CC0603KRX7R9BB104","",180.000000,-83.000000,0.000000,top
"C120","CC0603KRX7R9BB104","",220.000000,-203.000000,0.000000,top
"C121","CC0603KRX7R9BB104","",260.000000,-203.000000,0.000000,top
"C122","CC0603KRX7R9BB104","",300.000000,-203.000000,0.000000,top
"C123","CC0603KRX7R9BB104","",340.000000,-203.000000,0.000000,top
"C124","CC0603KRX7R9BB104","",220.000000,-163.000000,0.000000,top
"C125","CC0603KRX7R9BB104","",260.000000,-163.000000,0.000000,top
"C126","CC0603KRX7R9BB104","",300.000000,-163.000000,0.000000,top
"C127","CC0603KRX7R9BB104","",340.000000,-163.000000,0.000000,top
"C128","CC0603KRX7R9BB104","",220.000000,-123.000000,0.000000,top
"C129","CC0603KRX7R9BB104","",260.000000,-123.000000,0.000000,top
"C130","CC0603KRX7R9BB104","",300.000000,-123.000000,0.000000,top
"C131","CC0603KRX7R9BB104","",340.000000,-123.000000,0.000000,top
"C132","CC0603KRX7R9BB104","",220.000000,-83.000000,0.000000,top
"C133","CC0603KRX7R9BB104","",260.000000,-83.000000,0.000000,top
"C134","CC0603KRX7R9BB104","",300.000000,-83.000000,0.000000,top
"C135","CC0603KRX7R9BB104","",340.000000,-83.000000,0.000000,top
"D1","SMBJ6.0A","",50.000000,-385.000000,0.000000,top
"F1","0453002.MR","",62.000000,-398.000000,0.000000,top
"HS1","DRV5032FCDBZR","",60.000000,-360.000000,0.000000,top
"HS2","DRV5032FCDBZR","",100.000000,-360.000000,0.000000,top
"HS3","DRV5032FCDBZR","",140.000000,-360.000000,0.000000,top
"HS4","DRV5032FCDBZR","",180.000000,-360.000000,0.000000,top
"HS5","DRV5032FCDBZR","",60.000000,-320.000000,0.000000,top
"HS6","DRV5032FCDBZR","",100.000000,-320.000000,0.000000,top
"HS7","DRV5032FCDBZR","",140.000000,-320.000000,0.000000,top
"HS8","DRV5032FCDBZR","",180.000000,-320.000000,0.000000,top
"HS9","DRV5032FCDBZR","",60.000000,-280.000000,0.000000,top
"HS10","DRV5032FCDBZR","",100.000000,-280.000000,0.000000,top
"HS11","DRV5032FCDBZR","",140.000000,-280.000000,0.000000,top
"HS12","DRV5032FCDBZR","",180.000000,-280.000000,0.000000,top
"HS13","DRV5032FCDBZR","",60.000000,-240.000000,0.000000,top
"HS14","DRV5032FCDBZR","",100.000000,-240.000000,0.000000,top
"HS15","DRV5032FCDBZR","",140.000000,-240.000000,0.000000,top
"HS16","DRV5032FCDBZR","",180.000000,-240.000000,0.000000,top
"HS17","DRV5032FCDBZR","",220.000000,-360.000000,0.000000,top
"HS18","DRV5032FCDBZR","",260.000000,-360.000000,0.000000,top
"HS19","DRV5032FCDBZR","",300.000000,-360.000000,0.000000,top
"HS20","DRV5032FCDBZR","",340.000000,-360.000000,0.000000,top
"HS21","DRV5032FCDBZR","",220.000000,-320.000000,0.000000,top
"HS22","DRV5032FCDBZR","",260.000000,-320.000000,0.000000,top
"HS23","DRV5032FCDBZR","",300.000000,-320.000000,0.000000,top
"HS24","DRV5032FCDBZR","",340.000000,-320.000000,0.000000,top
"HS25","DRV5032FCDBZR","",220.000000,-280.000000,0.000000,top
"HS26","DRV5032FCDBZR","",260.000000,-280.000000,0.000000,top
"HS27","DRV5032FCDBZR","",300.000000,-280.000000,0.000000,top
"HS28","DRV5032FCDBZR","",340.000000,-280.000000,0.000000,top
"HS29","DRV5032FCDBZR","",220.000000,-240.000000,0.000000,top
"HS30","DRV5032FCDBZR","",260.000000,-240.000000,0.000000,top
"HS31","DRV5032FCDBZR","",300.000000,-240.000000,0.000000,top
"HS32","DRV5032FCDBZR","",340.000000,-240.000000,0.000000,top
"HS33","DRV5032FCDBZR","",60.000000,-200.000000,0.000000,top
"HS34","DRV5032FCDBZR","",100.000000,-200.000000,0.000000,top
"HS35","DRV5032FCDBZR","",140.000000,-200.000000,0.000000,top
"HS36","DRV5032FCDBZR","",180.000000,-200.000000,0.000000,top
"HS37","DRV5032FCDBZR","",60.000000,-160.000000,0.000000,top
"HS38","DRV5032FCDBZR","",100.000000,-160.000000,0.000000,top
"HS39","DRV5032FCDBZR","",140.000000,-160.000000,0.000000,top
"HS40","DRV5032FCDBZR","",180.000000,-160.000000,0.000000,top
"HS41","DRV5032FCDBZR","",60.000000,-120.000000,0.000000,top
"HS42","DRV5032FCDBZR","",100.000000,-120.000000,0.000000,top
"HS43","DRV5032FCDBZR","",140.000000,-120.000000,0.000000,top
"HS44","DRV5032FCDBZR","",180.000000,-120.000000,0.000000,top
"HS45","DRV5032FCDBZR","",60.000000,-80.000000,0.000000,top
"HS46","DRV5032FCDBZR","",100.000000,-80.000000,0.000000,top
"HS47","DRV5032FCDBZR","",140.000000,-80.000000,0.000000,top
"HS48","DRV5032FCDBZR","",180.000000,-80.000000,0.000000,top
"HS49","DRV5032FCDBZR","",220.000000,-200.000000,0.000000,top
"HS50","DRV5032FCDBZR","",260.000000,-200.000000,0.000000,top
"HS51","DRV5032FCDBZR","",300.000000,-200.000000,0.000000,top
"HS52","DRV5032FCDBZR","",340.000000,-200.000000,0.000000,top
"HS53","DRV5032FCDBZR","",220.000000,-160.000000,0.000000,top
"HS54","DRV5032FCDBZR","",260.000000,-160.000000,0.000000,top
"HS55","DRV5032FCDBZR","",300.000000,-160.000000,0.000000,top
"HS56","DRV5032FCDBZR","",340.000000,-160.000000,0.000000,top
"HS57","DRV5032FCDBZR","",220.000000,-120.000000,0.000000,top
"HS58","DRV5032FCDBZR","",260.000000,-120.000000,0.000000,top
"HS59","DRV5032FCDBZR","",300.000000,-120.000000,0.000000,top
"HS60","DRV5032FCDBZR","",340.000000,-120.000000,0.000000,top
"HS61","DRV5032FCDBZR","",220.000000,-80.000000,0.000000,top
"HS62","DRV5032FCDBZR","",260.000000,-80.000000,0.000000,top
"HS63","DRV5032FCDBZR","",300.000000,-80.000000,0.000000,top
"HS64","DRV5032FCDBZR","",340.000000,-80.000000,0.000000,top
"J1","PPPC202LFBN-RC","",200.000000,-340.000000,90.000000,top
"J2","PPPC041LFBN-RC","",105.000000,-392.000000,0.000000,top
"J3","PJ-102A","",50.000000,-398.000000,-90.000000,top
"R1","RC0603FR-074K7L","",150.000000,-390.000000,0.000000,top
"R2","RC0603FR-074K7L","",150.000000,-396.000000,0.000000,top
"R3","RC0603FR-074K7L","",181.000000,-393.000000,0.000000,top
"SW1","TL1105SPF100QG","",200.000000,-392.000000,0.000000,top
"SW2","TL1105SPF100QG","",216.000000,-392.000000,0.000000,top
"SW3","TL1105SPF100QG","",232.000000,-392.000000,0.000000,top
"SW4","TL1105SPF100QG","",248.000000,-392.000000,0.000000,top
"SW5","TL1105SPF100QG","",264.000000,-392.000000,0.000000,top
"SW6","TL1105SPF100QG","",280.000000,-392.000000,0.000000,top
"SW7","TL1105SPF100QG","",200.000000,-408.000000,0.000000,top
"SW8","TL1105SPF100QG","",216.000000,-408.000000,0.000000,top
"SW9","TL1105SPF100QG","",232.000000,-408.000000,0.000000,top
"SW10","TL1105SPF100QG","",248.000000,-408.000000,0.000000,top
"SW11","TL1105SPF100QG","",264.000000,-408.000000,0.000000,top
"SW12","TL1105SPF100QG","",280.000000,-408.000000,0.000000,top
"SW13","RA11131100","",87.000000,-410.000000,0.000000,top
"TP1","S1751-46R","",153.000000,-385.000000,0.000000,top
"TP2","S1751-46R","",160.000000,-385.000000,0.000000,top
"TP3","S1751-46R","",167.000000,-385.000000,0.000000,top
"TP4","S1751-46R","",174.000000,-385.000000,0.000000,top
"TP5","S1751-46R","",181.000000,-385.000000,0.000000,top
"TP6","S1751-46R","",188.000000,-385.000000,0.000000,top
"TP7","S1751-46R","",153.000000,-416.000000,0.000000,top
"TP8","S1751-46R","",160.000000,-416.000000,0.000000,top
"U1","MCP23017-E/SO","",134.000000,-300.000000,0.000000,top
"U2","MCP23017-E/SO","",294.000000,-300.000000,0.000000,top
"U3","MCP23017-E/SO","",134.000000,-140.000000,0.000000,top
"U4","MCP23017-E/SO","",294.000000,-140.000000,0.000000,top
"U5","SN74AHCT125DR","",130.000000,-400.000000,0.000000,top
"U6","SK9822-EC20","",73.000000,-347.000000,0.000000,top
"U7","SK9822-EC20","",113.000000,-347.000000,0.000000,top
"U8","SK9822-EC20","",153.000000,-347.000000,0.000000,top
"U9","SK9822-EC20","",193.000000,-347.000000,0.000000,top
"U10","SK9822-EC20","",233.000000,-347.000000,0.000000,top
"U11","SK9822-EC20","",273.000000,-347.000000,0.000000,top
"U12","SK9822-EC20","",313.000000,-347.000000,0.000000,top
"U13","SK9822-EC20","",353.000000,-347.000000,0.000000,top
"U14","SK9822-EC20","",353.000000,-307.000000,180.000000,top
"U15","SK9822-EC20","",313.000000,-307.000000,180.000000,top
"U16","SK9822-EC20","",273.000000,-307.000000,180.000000,top
"U17","SK9822-EC20","",233.000000,-307.000000,180.000000,top
"U18","SK9822-EC20","",193.000000,-307.000000,180.000000,top
"U19","SK9822-EC20","",153.000000,-307.000000,180.000000,top
"U20","SK9822-EC20","",113.000000,-307.000000,180.000000,top
"U21","SK9822-EC20","",73.000000,-307.000000,180.000000,top
"U22","SK9822-EC20","",73.000000,-267.000000,0.000000,top
"U23","SK9822-EC20","",113.000000,-267.000000,0.000000,top
"U24","SK9822-EC20","",153.000000,-267.000000,0.000000,top
"U25","SK9822-EC20","",193.000000,-267.000000,0.000000,top
"U26","SK9822-EC20","",233.000000,-267.000000,0.000000,top
"U27","SK9822-EC20","",273.000000,-267.000000,0.000000,top
"U28","SK9822-EC20","",313.000000,-267.000000,0.000000,top
"U29","SK9822-EC20","",353.000000,-267.000000,0.000000,top
"U30","SK9822-EC20","",353.000000,-227.000000,180.000000,top
"U31","SK9822-EC20","",313.000000,-227.000000,180.000000,top
"U32","SK9822-EC20","",273.000000,-227.000000,180.000000,top
"U33","SK9822-EC20","",233.000000,-227.000000,180.000000,top
"U34","SK9822-EC20","",193.000000,-227.000000,180.000000,top
"U35","SK9822-EC20","",153.000000,-227.000000,180.000000,top
"U36","SK9822-EC20","",113.000000,-227.000000,180.000000,top
"U37","SK9822-EC20","",73.000000,-227.000000,180.000000,top
"U38","SK9822-EC20","",73.000000,-187.000000,0.000000,top
"U39","SK9822-EC20","",113.000000,-187.000000,0.000000,top
"U40","SK9822-EC20","",153.000000,-187.000000,0.000000,top
"U41","SK9822-EC20","",193.000000,-187.000000,0.000000,top
"U42","SK9822-EC20","",233.000000,-187.000000,0.000000,top
"U43","SK9822-EC20","",273.000000,-187.000000,0.000000,top
"U44","SK9822-EC20","",313.000000,-187.000000,0.000000,top
"U45","SK9822-EC20","",353.000000,-187.000000,0.000000,top
"U46","SK9822-EC20","",353.000000,-147.000000,180.000000,top
"U47","SK9822-EC20","",313.000000,-147.000000,180.000000,top
"U48","SK9822-EC20","",273.000000,-147.000000,180.000000,top
"U49","SK9822-EC20","",233.000000,-147.000000,180.000000,top
"U50","SK9822-EC20","",193.000000,-147.000000,180.000000,top
"U51","SK9822-EC20","",153.000000,-147.000000,180.000000,top
"U52","SK9822-EC20","",113.000000,-147.000000,180.000000,top
"U53","SK9822-EC20","",73.000000,-147.000000,180.000000,top
"U54","SK9822-EC20","",73.000000,-107.000000,0.000000,top
"U55","SK9822-EC20","",113.000000,-107.000000,0.000000,top
"U56","SK9822-EC20","",153.000000,-107.000000,0.000000,top
"U57","SK9822-EC20","",193.000000,-107.000000,0.000000,top
"U58","SK9822-EC20","",233.000000,-107.000000,0.000000,top
"U59","SK9822-EC20","",273.000000,-107.000000,0.000000,top
"U60","SK9822-EC20","",313.000000,-107.000000,0.000000,top
"U61","SK9822-EC20","",353.000000,-107.000000,0.000000,top
"U62","SK9822-EC20","",353.000000,-67.000000,180.000000,top
"U63","SK9822-EC20","",313.000000,-67.000000,180.000000,top
"U64","SK9822-EC20","",273.000000,-67.000000,180.000000,top
"U65","SK9822-EC20","",233.000000,-67.000000,180.000000,top
"U66","SK9822-EC20","",193.000000,-67.000000,180.000000,top
"U67","SK9822-EC20","",153.000000,-67.000000,180.000000,top
"U68","SK9822-EC20","",113.000000,-67.000000,180.000000,top
"U69","SK9822-EC20","",73.000000,-67.000000,180.000000,top
